shortName,symbol,fullExchangeName,dividendDate,trailingAnnualDividendRate,trailingAnnualDividendYield
Arch Capital Group Ltd. - Depos,ACGLN,NasdaqGS,2023-03-30 19:00:00,0.0,0.0
Arch Capital Group Ltd. - Depos,ACGLO,NasdaqGS,2023-03-30 19:00:00,0.0,0.0
"Aceragen, Inc.",ACGN,NasdaqCM,2018-07-29 19:00:00,0.0,0.0
"Acadia Healthcare Company, Inc.",ACHC,NasdaqGS,,0.0,0.0
Achilles Therapeutics plc,ACHL,NasdaqGS,,0.0,0.0
Archer Aviation Inc.,ACHR,NYSE,,0.0,0.0
"Achieve Life Sciences, Inc.",ACHV,NasdaqCM,2020-07-30 19:00:00,0.0,0.0
"Albertsons Companies, Inc.",ACI,NYSE,2023-02-09 18:00:00,0.48,0.024328433
ETF Series Solutions Aptus Coll,ACIO,BATS,,,
AC Immune SA,ACIU,NasdaqGM,,0.0,0.0
"ACI Worldwide, Inc.",ACIW,NasdaqGS,,0.0,0.0
"Axcelis Technologies, Inc.",ACLS,NasdaqGS,,0.0,0.0
"Arcellx, Inc.",ACLX,NasdaqGS,,0.0,0.0
AECOM,ACM,NYSE,2023-04-20 19:00:00,0.63,0.0076096146
"ACM Research, Inc.",ACMR,NasdaqGM,,0.0,0.0
Accenture plc,ACN,NYSE,2023-02-14 18:00:00,4.18,0.016980136
ACNB Corporation,ACNB,NasdaqCM,2023-03-14 19:00:00,1.06,0.033125
Ascent Industries Co.,ACNT,NasdaqGM,2018-12-11 18:00:00,0.0,0.0
"Aclarion, Inc.",ACON,NasdaqCM,,0.0,0.0
,ACONW,NasdaqCM,,0.0,0.0
"Acorda Therapeutics, Inc.",ACOR,NasdaqGS,2021-01-03 18:00:00,0.0,0.0
Aberdeen Income Credit Strategi,ACP,NYSE,2019-01-30 18:00:00,1.2,0.17725259
Independence Holdings Corp.,ACQR,NasdaqCM,,0.0,0.0
Independence Holdings Corp.,ACQRU,NasdaqCM,,0.0,0.0
Independence Holdings Corp. Warrant,ACQRW,NasdaqCM,,,
ACRES Commercial Realty Corp.,ACR,NYSE,2020-04-27 19:00:00,0.0,0.0
Ares Commercial Real Estate Cor,ACRE,NYSE,2023-04-17 19:00:00,1.32,0.14473686
Acropolis Infrastructure Acquis,ACRO,NYSE,,0.0,0.0
,ACRO-WS,,,,
"Aclaris Therapeutics, Inc.",ACRS,NasdaqGS,,0.0,0.0
"Acrivon Therapeutics, Inc.",ACRV,NasdaqGM,,0.0,0.0
"AcelRx Pharmaceuticals, Inc.",ACRX,NasdaqGM,,0.0,0.0
American Customer Satisfaction ,ACSI,BATS,,,
"Acasti Pharma, Inc.",ACST,NasdaqCM,,0.0,0.0
"Enact Holdings, Inc.",ACT,NasdaqGS,2023-03-08 18:00:00,0.42,0.019125683
Acacia Research Corporation,ACTG,NasdaqGS,2015-11-29 18:00:00,0.0,0.0
LeaderShares Activist Leaders E,ACTV,NYSEArca,,,
Acme,ACU,NYSE American,2023-01-26 18:00:00,0.55,0.022878535
568516,ACV,NYSE,2018-02-28 18:00:00,0.0,0.0
ACV Auctions Inc.,ACVA,NasdaqGS,,0.0,0.0
American Conservative Values ET,ACVF,NYSEArca,,,
iShares MSCI ACWI ETF,ACWI,NasdaqGM,2016-12-27 18:00:00,0.0,0.0
iShares MSCI Global Min Vol Fac,ACWV,BATS,,,
iShares MSCI ACWI ex US Index F,ACWX,NasdaqGM,2016-12-27 18:00:00,,
"Acurx Pharmaceuticals, Inc.",ACXP,NasdaqCM,,0.0,0.0
Adagene Inc.,ADAG,NasdaqGM,,0.0,0.0
Anthemis Digital Acquisitions I,ADAL,NasdaqGM,,0.0,0.0
Anthemis Digital Acquisitions I,ADALU,NasdaqGM,,0.0,0.0
Anthemis Digital Acquisitions I Corp Warrant,ADALW,NasdaqGM,,,
Adaptimmune Therapeutics plc,ADAP,NasdaqGS,2018-03-29 19:00:00,0.0,0.0
Adobe Inc.,ADBE,NasdaqGS,,0.0,0.0
Agree Realty Corporation,ADC,NYSE,2023-03-13 19:00:00,2.805,0.040847532
ADC Therapeutics SA,ADCT,NYSE,,0.0,0.0
Color Star Technology Co. Ltd.,ADD,NasdaqCM,,0.0,0.0
Adeia Inc.,ADEA,NasdaqGS,2023-03-28 19:00:00,0.2,0.024038462
26 Capital Acquisition Corp.,ADER,NasdaqCM,,0.0,0.0
26 Capital Acquisition Corp.,ADERU,NasdaqCM,,0.0,0.0
26 Capital Acquisition Corp.,ADERW,NasdaqCM,,,
"Advanced Emissions Solutions, I",ADES,NasdaqGM,2020-03-09 19:00:00,0.0,0.0
Adit EdTech Acquisition Corp.,ADEX,NYSE American,,0.0,0.0
,ADEX-WS,,,,
Anfield Dynamic Fixed Income ET,ADFI,BATS,,,
"Analog Devices, Inc.",ADI,NasdaqGS,2023-03-07 18:00:00,3.14,0.017165037
"Adial Pharmaceuticals, Inc",ADIL,NasdaqCM,,0.0,0.0
"Adial Pharmaceuticals, Inc",ADILW,NasdaqCM,,,
SmartETFs Asia Pacific Dividend,ADIV,NYSEArca,,,
Archer-Daniels-Midland Company,ADM,NYSE,2021-09-07 19:00:00,1.6,0.020830622
ADMA Biologics Inc,ADMA,NasdaqGM,,0.0,0.0
Aptus Drawdown Managed Equity E,ADME,BATS,,,
Adamis Pharmaceuticals Corporat,ADMP,NasdaqCM,,0.0,0.0
"Advent Technologies Holdings, I",ADN,NasdaqCM,,0.0,0.0
Adient plc,ADNT,NYSE,2018-11-14 18:00:00,0.0,0.0
"Advent Technologies Holdings, I",ADNWW,NasdaqCM,,,
Edoc Acquisition Corp.,ADOC,NasdaqCM,,0.0,0.0
Edoc Acquisition Corp.,ADOCR,NasdaqCM,,0.0,0.0
Edoc Acquisition Corp.,ADOCW,NasdaqCM,,,
"Automatic Data Processing, Inc.",ADP,NasdaqGS,2023-03-31 19:00:00,4.37,0.020492379
Adaptive Biotechnologies Corpor,ADPT,NasdaqGS,,0.0,0.0
Series Portfolios Trust Adaptiv,ADPV,NYSEArca,,0.0,0.0
Invesco BLDRS Emerging Markets ,ADRE,NasdaqGM,2017-10-30 19:00:00,0.7,0.018577494
Ault Disruptive Technologies Co,ADRT,NYSE American,,0.0,0.0
ADS-TEC ENERGY PLC,ADSE,NasdaqCM,,0.0,0.0
ADS-TEC ENERGY PLC Warrant,ADSEW,NasdaqCM,,,
"Autodesk, Inc.",ADSK,NasdaqGS,,0.0,0.0
ADT Inc.,ADT,NYSE,2023-04-03 19:00:00,0.14,0.02017291
"AdTheorent Holding Company, Inc",ADTH,NasdaqCM,,0.0,0.0
,ADTHW,NasdaqCM,,,
"ADTRAN Holdings, Inc.",ADTN,NasdaqGS,2023-03-20 19:00:00,0.36,0.023468059
"Aditxt, Inc.",ADTX,NasdaqCM,,0.0,0.0
Addus HomeCare Corporation,ADUS,NasdaqGS,,0.0,0.0
Advantage Solutions Inc.,ADV,NasdaqGS,,0.0,0.0
"Adverum Biotechnologies, Inc.",ADVM,NasdaqGM,,0.0,0.0
Adams Diversified Equity Fund I,ADX,NYSE,2019-02-28 18:00:00,1.07,0.07239513
Addex Therapeutics Ltd,ADXN,NasdaqCM,,0.0,0.0
"Adams Resources & Energy, Inc.",AE,NYSE American,2023-03-23 19:00:00,0.96,0.019847013
AltEnergy Acquisition Corp.,AEAE,NasdaqGM,,0.0,0.0
AltEnergy Acquisition Corp.,AEAEU,NasdaqGM,,0.0,0.0
ALTENERGY ACQUISITION CORP C/WT,AEAEW,NasdaqGM,,,
Ameren Corporation,AEE,NYSE,2023-03-30 19:00:00,2.36,0.02768653
27762,AEF,NYSE,2019-01-09 18:00:00,0.44,0.08730159
Aegon Funding Company LLC 5.10%,AEFC,NYSE,2021-06-14 19:00:00,,
AEGON N.V.,AEG,NYSE,2023-06-28 19:00:00,0.2,0.04683841
Antelope Enterprise Holdings Li,AEHL,NasdaqCM,2020-09-02 19:00:00,0.0,0.0
Aehr Test Systems,AEHR,NasdaqCM,,0.0,0.0
Alset Inc.,AEI,NasdaqCM,,0.0,0.0
"Advanced Energy Industries, Inc",AEIS,NasdaqGS,2023-03-02 18:00:00,0.4,0.004234148
American Equity Investment Life,AEL,NYSE,2022-12-12 18:00:00,0.36,0.01087942
Agnico Eagle Mines Limited,AEM,NYSE,2023-03-14 19:00:00,1.6,0.033215698
American Century Emerging Marke,AEMB,NYSEArca,,0.0,0.0
"Aethlon Medical, Inc.",AEMD,NasdaqCM,2019-10-14 19:00:00,0.0,0.0
Aenza S.A.A.,AENZ,NYSE,2018-12-25 18:00:00,0.0,0.0
"American Eagle Outfitters, Inc.",AEO,NYSE,2023-04-20 19:00:00,0.36,0.02706767
American Electric Power Company,AEP,NasdaqGS,2023-03-09 18:00:00,3.17,0.03423696
American Electric Power Company,AEPPZ,NasdaqGS,2023-02-14 18:00:00,3.17,0.06302187
AerCap Holdings N.V.,AER,NYSE,,0.0,0.0
The AES Corporation,AES,NYSE,2023-05-14 19:00:00,0.632,0.027418658
The AES Corporation Corporate,AESC,NYSE,2023-02-14 18:00:00,0.632,0.0073275366
