shortName,symbol,fullExchangeName,dividendDate,trailingAnnualDividendYield,averageAnalystRating,trailingPE,trailingAnnualDividendRate
Alamos Gold Inc.,AGI,NYSE,2023-03-29 19:00:00,0.0094161965,2.7 - Hold,117.88888,0.1
Federal Agricultural Mortgage C,AGM,NYSE,2023-03-30 19:00:00,0.030175494,2.5 - Buy,9.690547,3.8
Federal Agricultural Mortgage C,AGM-A,NYSE,2023-03-30 19:00:00,0.03505535,,7.978371,3.8
AGNC Investment Corp.,AGNC,NasdaqGS,2023-03-08 18:00:00,0.14560162,2.4 - Buy,,1.44
AGNC Investment Corp. - Deposit,AGNCL,NasdaqGS,2023-01-16 18:00:00,0.067007914,,,1.44
AGNC Investment Corp. - Deposit,AGNCM,NasdaqGS,2023-01-16 18:00:00,0.067447305,,,1.44
AGNC Investment Corp. - Deposit,AGNCN,NasdaqGS,2023-01-16 18:00:00,0.05935697,,,1.44
AGNC Investment Corp. - Deposit,AGNCO,NasdaqGS,2023-01-16 18:00:00,0.07111111,,,1.44
AGNC Investment Corp. - Deposit,AGNCP,NasdaqGS,2023-01-16 18:00:00,0.07619048,,,1.44
Assured Guaranty Ltd.,AGO,NYSE,2023-03-21 19:00:00,0.020169422,1.8 - Buy,27.510988,1.0
"Avangrid, Inc.",AGR,NYSE,2023-04-02 19:00:00,0.04424334,3.3 - Hold,17.146551,1.76
Adecoagro S.A.,AGRO,NYSE,2022-11-16 18:00:00,0.0,2.7 - Hold,8.204301,0.0
"Argan, Inc.",AGX,NYSE,2023-01-30 18:00:00,0.024820054,2.0 - Buy,27.72789,1.0
"Armada Hoffler Properties, Inc.",AHH,NYSE,2023-04-05 19:00:00,0.060200673,1.7 - Buy,12.784946,0.72
Arlington Asset Investment Corp,AIC,NYSE,2023-03-14 19:00:00,0.09361663,,,2.2
"American International Group, I",AIG,NYSE,2023-03-30 19:00:00,0.026868178,2.3 - Buy,4.110565,1.28
Altra Industrial Motion Corp.,AIMC,NasdaqGS,2023-04-03 19:00:00,0.005694761,2.5 - Buy,31.649485,0.35
Albany International Corporatio,AIN,NYSE,2023-04-09 19:00:00,0.009876544,3.0 - Hold,29.796053,0.88
Apartment Income REIT Corp.,AIRC,NYSE,2023-02-27 18:00:00,0.04975124,2.2 - Buy,6.098107,1.8
"AirSculpt Technologies, Inc.",AIRS,NasdaqGM,2022-09-13 19:00:00,0.0,2.2 - Buy,,0.0
"Air T, Inc. - Trust Preferred S",AIRTP,NasdaqGM,2023-11-14 18:00:00,0.0,,68.48215,0.0
Applied Industrial Technologies,AIT,NYSE,2023-02-27 18:00:00,0.010181164,2.3 - Buy,17.24262,1.36
Apartment Investment and Manage,AIV,NYSE,2022-09-29 19:00:00,0.0,1.0 - Strong Buy,14.469388,0.0
"Assurant, Inc.",AIZ,NYSE,2023-03-19 19:00:00,0.024635857,2.0 - Buy,22.418182,2.74
"Assurant, Inc. 5.25% Subordinat",AIZN,NYSE,2023-04-14 19:00:00,,,,
Arthur J. Gallagher & Co.,AJG,NYSE,2023-03-16 19:00:00,0.011519566,1.9 - Buy,36.646706,2.04
Great Ajax Corp.,AJX,NYSE,2023-03-30 19:00:00,0.16459626,2.0 - Buy,,1.06
Embotelladora Andina S.A.,AKO-A,NYSE,2023-02-06 18:00:00,0.0,,13.293978,0.0
Embotelladora Andina S.A.,AKO-B,NYSE,2023-02-06 18:00:00,0.0,2.0 - Buy,16.567415,0.0
Acadia Realty Trust,AKR,NYSE,2023-04-13 19:00:00,0.052516412,2.7 - Hold,,0.72
Air Lease Corporation,AL,NYSE,2023-04-11 19:00:00,0.01994716,1.7 - Buy,,0.755
Albemarle Corporation,ALB,NYSE,2023-04-02 19:00:00,0.007383178,2.4 - Buy,9.880755,1.58
Alcon Inc.,ALC,NYSE,2022-05-04 19:00:00,0.003482129,2.1 - Buy,98.20588,0.227
"Alico, Inc.",ALCO,NasdaqGS,2023-01-12 18:00:00,0.062,2.0 - Buy,,1.55
"Allete, Inc.",ALE,NYSE,2023-02-28 18:00:00,0.041093722,2.7 - Hold,18.779411,2.6
"Alexander & Baldwin, Inc.",ALEX,NYSE,2023-04-03 19:00:00,0.046188094,3.0 - Hold,35.8,0.83
"Alamo Group, Inc.",ALG,NYSE,2023-01-31 18:00:00,0.0042430316,2.0 - Buy,21.239758,0.72
Allstate Corporation (The),ALL,NYSE,2023-03-16 19:00:00,0.030738631,2.3 - Buy,,3.4
Allegion plc,ALLE,NYSE,2023-03-30 19:00:00,0.015793528,2.6 - Hold,21.193611,1.64
Ally Financial Inc.,ALLY,NYSE,2023-02-14 18:00:00,0.050998725,2.6 - Hold,4.669323,1.2
"Alpine Summit Energy Partners, ",ALPS,NasdaqGM,2023-02-27 18:00:00,0.16770187,,2.3333333,0.27
Alerus Financial Corporation,ALRS,NasdaqCM,2023-04-13 19:00:00,0.04219409,3.0 - Hold,8.032864,0.7
"Allison Transmission Holdings, ",ALSN,NYSE,2023-03-16 19:00:00,0.019372692,2.9 - Hold,8.072222,0.84
Alta Equipment Group Inc.,ALTG,NYSE,2023-02-27 18:00:00,0.010601365,2.0 - Buy,83.99999,0.171
"Autoliv, Inc.",ALV,NYSE,2023-03-22 19:00:00,0.029245067,2.5 - Buy,19.331182,2.58
"Alexander's, Inc.",ALX,NYSE,2023-02-09 18:00:00,0.092142306,4.0 - Underperform,17.233305,18.0
Antero Midstream Corporation,AM,NYSE,2023-02-07 18:00:00,0.09045226,3.3 - Hold,14.705882,0.9
Amalgamated Financial Corp.,AMAL,NasdaqGM,2023-02-19 18:00:00,0.01875,2.3 - Buy,7.632184,0.36
"Applied Materials, Inc.",AMAT,NasdaqGS,2023-03-15 19:00:00,0.008777852,2.1 - Buy,16.711565,1.04
Ardagh Metal Packaging S.A.,AMBP,NYSE,2023-03-27 19:00:00,0.10152284,2.1 - Buy,10.972222,0.4
Amcor plc,AMCR,NYSE,2023-03-20 19:00:00,0.04515829,3.0 - Hold,15.414286,0.485
"AMETEK, Inc.",AME,NYSE,2023-03-30 19:00:00,0.0065671643,2.4 - Buy,28.008247,0.88
"Affiliated Managers Group, Inc.",AMG,NYSE,2023-03-01 18:00:00,0.00029424744,1.9 - Buy,5.3889546,0.04
Amgen Inc.,AMGN,NasdaqGS,2023-06-07 19:00:00,0.033035334,2.7 - Hold,19.024332,7.76
American Homes 4 Rent,AMH,NYSE,2023-03-30 19:00:00,0.023591088,2.4 - Buy,42.458332,0.72
"Amkor Technology, Inc.",AMKR,NasdaqGS,2023-03-19 19:00:00,0.009221312,2.5 - Buy,8.345515,0.225
"American National Bankshares, I",AMNB,NasdaqGS,2023-03-16 19:00:00,0.037279267,3.0 - Hold,9.869565,1.14
"Allied Motion Technologies, Inc",AMOT,NasdaqGM,2023-04-04 19:00:00,0.0027218289,2.3 - Buy,34.477066,0.1
"Ameriprise Financial, Inc.",AMP,NYSE,2023-02-27 18:00:00,0.017210975,2.1 - Buy,13.569477,4.88
"Alpha Metallurgical Resources, ",AMR,NYSE,2023-04-02 19:00:00,0.00803172,2.3 - Buy,1.856037,1.185
"A-Mark Precious Metals, Inc.",AMRK,NasdaqGS,2023-01-26 18:00:00,0.013932428,2.0 - Buy,4.720312,0.4
"AMERISAFE, Inc.",AMSF,NasdaqGS,2023-03-23 19:00:00,0.025045447,2.7 - Hold,18.233812,1.24
"American Software, Inc.",AMSWA,NasdaqGS,2023-05-16 19:00:00,0.034108527,1.5 - Strong Buy,40.09375,0.44
American Tower Corporation (REI,AMT,NYSE,2023-04-27 19:00:00,0.028964017,2.0 - Buy,53.121765,5.86
Amerant Bancorp Inc.,AMTB,NasdaqGS,2023-02-27 18:00:00,0.015618223,2.2 - Buy,12.817204,0.36
"America Movil, S.A.B. de C.V. A",AMX,NYSE,2022-12-29 18:00:00,0.0,2.4 - Buy,,0.0
"The Andersons, Inc.",ANDE,NasdaqGS,2023-04-23 19:00:00,0.01818641,1.7 - Buy,11.8802395,0.72
"Angel Oak Mortgage REIT, Inc.",AOMR,NYSE,2023-03-30 19:00:00,0.2132964,3.0 - Hold,,1.54
Aon plc,AON,NYSE,2023-02-14 18:00:00,0.007661361,2.8 - Hold,25.212479,2.19
A.O. Smith Corporation,AOS,NYSE,2023-02-14 18:00:00,0.017099146,2.9 - Hold,45.214767,1.14
APA Corporation,APA,NasdaqGS,2023-05-21 19:00:00,0.023400936,2.3 - Buy,3.2357001,0.75
Artisan Partners Asset Manageme,APAM,NYSE,2023-02-27 18:00:00,0.08324908,3.0 - Hold,10.217688,2.47
"Air Products and Chemicals, Inc",APD,NYSE,2023-05-07 19:00:00,0.023390124,2.3 - Buy,27.578894,6.48
Amphenol Corporation,APH,NYSE,2023-04-11 19:00:00,0.010652288,2.3 - Buy,25.906668,0.81
"Apple Hospitality REIT, Inc.",APLE,NYSE,2023-03-14 19:00:00,0.039164495,1.7 - Buy,24.11111,0.6
"Apollo Global Management, Inc. ",APO,NYSE,2023-02-27 18:00:00,0.027772956,2.2 - Buy,8.627019,1.6
"Apogee Enterprises, Inc.",APOG,NasdaqGS,2023-02-14 18:00:00,0.021276595,2.8 - Hold,13.325808,0.88
Algonquin Power & Utilities Cor,AQN,NYSE,2023-01-12 18:00:00,0.092015706,2.8 - Hold,109.57143,0.703
Algonquin Power & Utilities Cor,AQNA,NYSE,2023-04-16 19:00:00,,,,
Algonquin Power & Utilities Cor,AQNB,NYSE,2023-03-31 19:00:00,,,,
Algonquin Power & Utilities Cor,AQNU,NYSE,2023-03-14 19:00:00,0.026883366,,51.64729,0.703
Argo Blockchain plc - 8.75% Sen,ARBKL,NasdaqGM,2023-10-30 19:00:00,,,,
"ARC Document Solutions, Inc.",ARC,NYSE,2023-05-30 19:00:00,0.064935066,,12.72,0.2
ArcBest Corporation,ARCB,NasdaqGS,2023-02-27 18:00:00,0.0048463484,2.0 - Buy,7.7630925,0.44
"Arch Resources, Inc.",ARCH,NYSE,2023-03-14 19:00:00,0.18641426,1.7 - Buy,2.233792,25.11
Arcos Dorados Holdings Inc.,ARCO,NYSE,2022-12-29 18:00:00,0.0,1.9 - Buy,12.603175,0.0
Alexandria Real Estate Equities,ARE,NYSE,2023-04-13 19:00:00,0.03717999,1.7 - Buy,38.899685,4.72
Argo Group International Holdin,ARGO,NYSE,2022-12-14 18:00:00,0.0428029,3.2 - Hold,,1.24
Apollo Commercial Real Estate F,ARI,NYSE,2023-01-12 18:00:00,0.1502146,3.1 - Hold,6.12987,1.4
"Aris Water Solutions, Inc.",ARIS,NYSE,2023-03-28 19:00:00,0.042303175,1.9 - Buy,215.00002,0.36
ARKO Corp.,ARKO,NasdaqCM,2023-03-20 19:00:00,0.010613209,1.8 - Buy,16.320755,0.09
Ark Restaurants Corp.,ARKR,NasdaqGM,2023-03-13 19:00:00,0.020536693,,7.7800827,0.375
"Alliance Resource Partners, L.P",ARLP,NasdaqGS,2023-02-13 18:00:00,0.10696655,1.7 - Buy,4.449649,1.95
Aramark,ARMK,NYSE,2023-03-07 18:00:00,0.013095238,2.5 - Buy,39.952385,0.44
Arrow Financial Corporation,AROW,NasdaqGS,2023-03-14 19:00:00,0.03922734,,9.189189,1.056
"ARMOUR Residential REIT, Inc.",ARR,NYSE,2023-03-27 19:00:00,0.23904383,3.2 - Hold,,1.2
Artesian Resources Corporation,ARTNA,NasdaqGS,2023-02-22 18:00:00,0.02041503,1.0 - Strong Buy,28.105265,1.092
Sendas Distribuidora S A,ASAI,NYSE,2023-02-27 18:00:00,0.0023110555,3.0 - Hold,18.02299,0.037
Associated Banc-Corp,ASB,NYSE,2023-03-14 19:00:00,0.042209484,3.0 - Hold,8.922375,0.81
Ardmore Shipping Corporation,ASC,NYSE,2023-03-14 19:00:00,0.029163964,1.2 - Strong Buy,4.728972,0.45
